org.apache.ibatis.binding.MapperProxy.invoke(ms) :57
======================================>>>>com.zuosh.web.UserController.getAllUsers(ms) :58
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :39
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :39
com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :39
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :39
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :39
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :39
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValuesForSimpleResultMap(ms) :3
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValues(ms) :3
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSet(ms) :3
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSets(ms) :4
org.apache.ibatis.executor.statement.PreparedStatementHandler.query(ms) :43
org.apache.ibatis.executor.statement.RoutingStatementHandler.query(ms) :43
org.apache.ibatis.executor.SimpleExecutor.doQuery(ms) :45
org.apache.ibatis.executor.BaseExecutor.queryFromDatabase(ms) :45
org.apache.ibatis.executor.BaseExecutor.query(ms) :45
org.apache.ibatis.executor.CachingExecutor.query(ms) :45
org.apache.ibatis.executor.CachingExecutor.query(ms) :46
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :46
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :46
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :46
org.mybatis.spring.SqlSessionTemplate.selectList(ms) :46
org.apache.ibatis.binding.MapperMethod.executeForMany(ms) :46
org.apache.ibatis.binding.MapperMethod.execute(ms) :46
org.apache.ibatis.binding.MapperProxy.invoke(ms) :46
======================================>>>>com.zuosh.web.UserController.getAllUsers(ms) :46
org.apache.ibatis.ognl.SimpleNode.getValue(ms) :2
org.apache.ibatis.ognl.Ognl.getValue(ms) :2
org.apache.ibatis.ognl.Ognl.getValue(ms) :2
org.apache.ibatis.scripting.xmltags.OgnlCache.getValue(ms) :2
org.apache.ibatis.scripting.xmltags.ExpressionEvaluator.evaluateIterable(ms) :2
org.apache.ibatis.scripting.xmltags.ForEachSqlNode.apply(ms) :2
org.apache.ibatis.scripting.xmltags.MixedSqlNode.apply(ms) :2
org.apache.ibatis.scripting.xmltags.TrimSqlNode.apply(ms) :2
org.apache.ibatis.scripting.xmltags.MixedSqlNode.apply(ms) :2
org.apache.ibatis.scripting.xmltags.IfSqlNode.apply(ms) :2
org.apache.ibatis.scripting.xmltags.MixedSqlNode.apply(ms) :2
org.apache.ibatis.scripting.xmltags.DynamicSqlSource.getBoundSql(ms) :2
org.apache.ibatis.mapping.MappedStatement.getBoundSql(ms) :3
com.alibaba.druid.pool.DruidPooledConnection.getCatalog(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :2
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :2
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :2
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :2
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :3
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :3
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :3
