com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :2
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(ms) :2
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :2
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :13
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :13
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :13
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :13
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :15
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :15
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :15
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :15
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :4
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :5
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :5
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :5
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :5
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :5
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :5
com.alibaba.druid.sql.SQLUtils.format(ms) :7
